Login_ID,Repo_Count,Follower_Count,Member_Since
"

        ainame  
        ",139, *  291   , ( 2011-04-24 ) 
"

        josemontesdeoca  
        ",11, 48  , ( 2011-05-01 ) 
"

        dvabaoaadoj 
",21, 30  , ( 2011-05-05 ) 
"

        ahmetabdi  
        ",154, *  709   , ( 2011-05-09 ) 
"

        alfredwesterveld  
        ",52, 64  , ( 2008-04-13 ) 
"

        morganrallen  
        ",107, 54  , ( 2008-09-02 ) 
"

        rala 
",498, *  620   , ( 2008-12-20 ) 
"

        mattorb  
        ",39, 44  , ( 2009-03-09 ) 
"

        elango  
        ",73, 43  , ( 2009-03-20 ) 
"

        andresdouglas  
        ",33, 21  , ( 2009-04-10 ) 
"

        elrleilye 
",402, *  1733   , ( 2009-08-31 ) 
"

        arfrank  
        ",51, 26  , ( 2009-09-16 ) 
"

        aztkrje 
",89, 59  , ( 2009-11-13 ) 
"

        Skyhoper  
        ",1, 4  , ( 2009-11-17 ) 
"

        CubeSpawn  
        ",8, *  107   , ( 2009-12-07 ) 
"

        adkdev  
        ",5, 27  , ( 2010-03-03 ) 
"

        Poincare  
        ",49, 98  , ( 2010-03-06 ) 
"

        tdhcmarew 
",104, 56  , ( 2010-05-05 ) 
"

        rciblconio 
",43, *  1956   , ( 2010-07-17 ) 
"

        gavinuhma  
        ",28, *  147   , ( 2010-09-17 ) 
"

        marothstein  
        ",41, 49  , ( 2010-10-12 ) 
"

        jefftrudeau  
        ",9, 8  , ( 2010-11-19 ) 
"

        freewil  
        ",127, *  101   , ( 2011-04-08 ) 
"

        jaybny  
        ",25, 15  , ( 2011-05-09 ) 
"

        UTN1T01S 
",0, 71  , ( 2011-05-15 ) 
"

        pjbahohiseb 
",5, 4  , ( 2011-07-15 ) 
"

        Hungsta  
        ",4, 32  , ( 2011-07-28 ) 
"

        wemeetagain  
        ",75, *  130   , ( 2012-01-18 ) 
"

        oggata  
        ",162, 46  , ( 2012-01-20 ) 
"

        tigefa4u  
        ",265, *  456   , ( 2012-03-02 ) 
"

        enJonlsSaa 
",8, *  281   , ( 2012-06-08 ) 
"

        csjaba  
        ",53, *  853   , ( 2012-09-22 ) 
"

        HevoKknic 
",39, *  4695   , ( 2012-12-19 ) 
"

        zulhfreelancer  
        ",205, *  157   , ( 2013-01-29 ) 
"

        shanesveller  
        ",102, 96  , ( 2008-02-25 ) 
"

        ivan  
        ",6, *  144   , ( 2008-04-03 ) 
"

        anrtmy 
",238, *  156   , ( 2008-04-03 ) 
"

        teehemkay  
        ",12, 20  , ( 2008-04-04 ) 
"

        dejanr  
        ",43, 56  , ( 2008-07-26 ) 
"

        bbigras  
        ",170, 36  , ( 2008-09-10 ) 
"

        hcooLRba 
",791, *  372   , ( 2008-09-18 ) 
"

        naegod 
",31, 14  , ( 2008-10-07 ) 
"

        r34hk13mck 
",1247, *  563   , ( 2008-11-17 ) 
"

        joachifm  
        ",29, 47  , ( 2008-12-21 ) 
"

        jb55  
        ",536, *  399   , ( 2009-01-10 ) 
"

        newhoggy  
        ",74, 84  , ( 2009-03-13 ) 
"

        stigtsp  
        ",152, 77  , ( 2009-04-19 ) 
"

        nmieaJcu 
",22, 4  , ( 2009-04-26 ) 
"

        plumenator  
        ",83, 78  , ( 2009-07-11 ) 
"

        rohithadassanayake  
        ",5, *  526   , ( 2009-07-30 ) 
"

        735 
",134, 78  , ( 2009-09-06 ) 
"

        alemdrus 
",110, *  152   , ( 2009-09-29 ) 
"

        aycanirican  
        ",55, 77  , ( 2009-10-05 ) 
"

        majorgreys  
        ",45, 41  , ( 2009-11-19 ) 
"

        bsarbois 
",27, 12  , ( 2010-02-04 ) 
"

        iavrgdal 
",75, *  117   , ( 2010-04-07 ) 
"

        terlar  
        ",100, *  111   , ( 2010-05-18 ) 
"

        EvanMisshula  
        ",193, 98  , ( 2010-06-09 ) 
"

        abfjhnair 
",12, 75  , ( 2010-06-13 ) 
"

        pchab 
",146, 92  , ( 2010-07-16 ) 
"

        nckx  
        ",37, 18  , ( 2010-08-14 ) 
"

        wolfflow  
        ",67, 56  , ( 2010-08-20 ) 
"

        timothyklim  
        ",229, *  174   , ( 2010-09-04 ) 
"

        Boyquotes  
        ",163, 59  , ( 2010-09-27 ) 
"

        aaduk 
",166, *  480   , ( 2008-02-21 ) 
"

        benhiller  
        ",15, 74  , ( 2008-02-27 ) 
"

        jubishop  
        ",40, 56  , ( 2008-06-10 ) 
"

        eston  
        ",9, *  141   , ( 2009-01-23 ) 
"

        metria 
",16, 49  , ( 2009-01-24 ) 
"

        keito  
        ",2, 82  , ( 2009-06-22 ) 
"

        singerdmx  
        ",15, *  446   , ( 2009-09-03 ) 
"

        eecofftta 
",68, *  249   , ( 2009-10-12 ) 
"

        enilivk 
",76, 36  , ( 2009-10-27 ) 
"

        lndRlramdnayoaC 
",31, 79  , ( 2010-05-05 ) 
"

        dennispi  
        ",7, 9  , ( 2010-09-03 ) 
"

        h9j1 
",197, 32  , ( 2010-09-12 ) 
